"Sample_ID","Customer_Name","Subject_Barcode","Synonym_clean","female","male","full_sib","CIP","DArT"
"24-PEP-02-P01A01S000001","24-PEP-02-P01_A01","CIP318106.003","CIP318106.003","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A02S000009","24-PEP-02-P01_A02","CIP318106.006","CIP318106.006","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A03S000017","24-PEP-02-P01_A03","CIP318106.008","CIP318106.008","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A04S000025","24-PEP-02-P01_A04","CIP318106.014","CIP318106.014","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A05S000033","24-PEP-02-P01_A05","CIP318106.017","CIP318106.017","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A06S000041","24-PEP-02-P01_A06","CIP318106.021","CIP318106.021","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A07S000049","24-PEP-02-P01_A07","CIP318106.028","CIP318106.028","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A08S000057","24-PEP-02-P01_A08","CIP318106.031","CIP318106.031","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A09S000065","24-PEP-02-P01_A09","CIP318106.034","CIP318106.034","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A10S000073","24-PEP-02-P01_A10","CIP318106.035","CIP318106.035","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A11S000081","24-PEP-02-P01_A11","CIP318106.037","CIP318106.037","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01A12S000089","24-PEP-02-P01_A12","CIP318106.050","CIP318106.050","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01B01S000002","24-PEP-02-P01_B01","CIP318106.052","CIP318106.052","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01B02S000010","24-PEP-02-P01_B02","CIP318106.055","CIP318106.055","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01B03S000018","24-PEP-02-P01_B03","CIP318106.082","CIP318106.082","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01B04S000026","24-PEP-02-P01_B04","CIP318106.092","CIP318106.092","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01B05S000034","24-PEP-02-P01_B05","CIP318106.116","CIP318106.116","CIP512005.4","CIP308498.280","CIP512005.4_x_CIP308498.280",TRUE,TRUE
"24-PEP-02-P01B06S000042","24-PEP-02-P01_B06","CIP318107.003","CIP318107.003","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01B07S000050","24-PEP-02-P01_B07","CIP318107.009","CIP318107.009","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01B08S000058","24-PEP-02-P01_B08","CIP318107.012","CIP318107.012","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01B09S000066","24-PEP-02-P01_B09","CIP318107.017","CIP318107.017","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01B10S000074","24-PEP-02-P01_B10","CIP318107.020","CIP318107.020","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01B11S000082","24-PEP-02-P01_B11","CIP318107.023","CIP318107.023","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01B12S000090","24-PEP-02-P01_B12","CIP318107.037","CIP318107.037","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C01S000003","24-PEP-02-P01_C01","CIP318107.038","CIP318107.038","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C02S000011","24-PEP-02-P01_C02","CIP318107.040","CIP318107.040","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C03S000019","24-PEP-02-P01_C03","CIP318107.044","CIP318107.044","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C04S000027","24-PEP-02-P01_C04","CIP318107.045","CIP318107.045","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C05S000035","24-PEP-02-P01_C05","CIP318107.046","CIP318107.046","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C06S000043","24-PEP-02-P01_C06","CIP318107.049","CIP318107.049","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C07S000051","24-PEP-02-P01_C07","CIP318107.058","CIP318107.058","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C08S000059","24-PEP-02-P01_C08","CIP318107.071","CIP318107.071","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C09S000067","24-PEP-02-P01_C09","CIP318107.092","CIP318107.092","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C10S000075","24-PEP-02-P01_C10","CIP318107.120","CIP318107.120","CIP512010.1","CIP398208.33","CIP512010.1_x_CIP398208.33",TRUE,TRUE
"24-PEP-02-P01C11S000083","24-PEP-02-P01_C11","CIP318108.006","CIP318108.006","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01C12S000091","24-PEP-02-P01_C12","CIP318108.031","CIP318108.031","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01D01S000004","24-PEP-02-P01_D01","CIP318108.034","CIP318108.034","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01D02S000012","24-PEP-02-P01_D02","CIP318108.042","CIP318108.042","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
"24-PEP-02-P01D03S000020","24-PEP-02-P01_D03","CIP318108.055","CIP318108.055","CIP512010.1","CIP398208.620","CIP512010.1_x_CIP398208.620",TRUE,TRUE
